Title,Author(s),Publish Year,Subjects
Advances In Cognitive Information Systems,Lidia Ogiela,2012,Artificial intelligence
Debate Dynamics How Controversy Improves Our Beliefs,Gregor Betz,2012,"Science, philosophy, Theory of Knowledge, Debates and debating, Philosophy, Reasoning, Belief and doubt, Logic, Science, Artificial intelligence"
"Signal Processing Image Processing and Pattern Recognition
            
                Communications in Computer and Information Science",Carlos Ramos,2012,"Signal processing, Image processing, Pattern recognition systems, Computer Communication Networks, Image Processing and Computer Vision, Algorithm Analysis and Problem Complexity, Pattern perception, Computer science, Optical pattern recognition, Computer vision, Artificial intelligence, Computer software, Artificial Intelligence (incl. Robotics), Information Systems Applications (incl. Internet)"
Active Media Technology 7th International Conference Amt 2011 Lanzhou China September 79 2011 Proceedings,Ning Zhong,2011,"Information systems, Computer science, Database management, Computer networks, Data mining, Artificial intelligence, Computer graphics, Congresses, Human-computer interaction, Multimedia systems, User interfaces (Computer systems), Pattern recognition systems"
"Agents and PeerToPeer Computing
            
                Lecture Notes in Computer Science  Lecture Notes in Artific",Domenico Beneventano,2012,"Computer network architectures, Intelligent agents (computer software), Information storage and retrieval systems, Artificial intelligence, Computer science, Peer-to-peer architecture (Computer networks), Congresses, Intelligent agents (Computer software)"
Semantics And Algebraic Specification Essays Dedicated To Peter D Mosses On The Occasion Of His 60th Birthday,Jens Palsberg,2009,"Logic design, Computer science, Software engineering, Algebra, Data processing, Artificial intelligence, Programming languages (Electronic computers), Congresses, Semantics, Mathematics, Algebraische Spezifikation, Aufsatzsammlung, Formale Methode, Programmiersprache, Semantik, Programming languages (electronic computers), Computer science, mathematics"
"Persuasive Technology
            
                Lecture Notes in Computer Science",Yvonne de Kort,2008,"Computer science, Software engineering, Data mining, Computer networks, Data processing, Social sciences, Artificial intelligence, Persuasion (psychology), Human-computer interaction, Health promotion, Persuasion (Psychology), Congresses, Computer programs"
"Type2 Fuzzy Logic
            
                Studies in Fuzziness and Soft Computing",Oscar Castillo,2008,"Engineering, Engineering mathematics, Artificial intelligence, Fuzzy logic"
"Agents and Data Mining Interaction
            
                Lecture Notes in Artificial Intelligence",Ana L. C. Bazzan,2012,"Data Mining and Knowledge Discovery, Database management, Computer networks, Information organization, Information retrieval, Data mining, Information Systems Applications (incl. Internet), Computer science, Information storage and retrieval systems, Artificial intelligence, Artificial Intelligence (incl. Robotics), Intelligent agents (computer software)"
"Knowledge Representation for HealthCare
            
                Lecture Notes in Artificial Intelligence",Annette ten Teije,2012,"Medical informatics, Artificial intelligence, Knowledge representation (information theory), Medical care"
"Interactive Theorem Proving
            
                Lecture Notes in Computer Science  Theoretical Computer Sci",Lennart Beringer,2012,"Automatic theorem proving, Congresses, Software engineering, Data protection, Logic design, Artificial intelligence"
"Advances in Artificial Intelligence
            
                Lecture Notes in Artificial Intelligence",Diana Inkpen,2012,Artificial intelligence
"Mobile and Ubiquitous Systems
            
                Lecture Notes of the Institute for Computer Sciences Social",Max Ott,2012,"Mobile computing, Ubiquitous computing, Computer science, Software engineering, Computer software, Artificial intelligence"
"CaseBased Reasoning Research and Development
            
                Lecture Notes in Artificial Intelligence",Ashwin Ram,2011,"Expert systems (computer science), Artificial intelligence, Reasoning"
"Intelligent Virtual Agents
            
                Lecture Notes in Artificial Intelligence",Zsofia Ruttkay,2009,"Information systems, Education, Computer science, Artificial intelligence, Computer simulation, Congresses, Interactive computer systems, Virtual computer systems, Anwendungssystem, Kongress, Virtuelle Realität, Computeranimation, Agent <Informatik>, Erweiterte Realität <Informatik>, Körpersprache, Charakter, Affective Computing, Soziales Netzwerk, Mehragentensystem, Mensch-Maschine-Kommunikation, Multimodales System, Agent (Informatik), Erweiterte Realität (Informatik)"
"Tools and Applications with Artificial Intelligence
            
                Studies in Computational Intelligence",Constantinos Koutsojannis,2009,"Artificial intelligence, Intelligent agents (computer software), Congresses, Intelligent agents (Computer software)"
"Networked Knowledge  Networked Media
            
                Studies in Computational Intelligence",Soren Auer,2009,"Engineering, Information systems, Engineering mathematics, Artificial intelligence, World wide web, Social media"
Automated Reasoning 4th International Joint Conference Proceedings,Peter Baumgartner,2008,"Logic design, Artificial intelligence, Computer science, Software engineering, Automatic theorem proving, Congresses, Computer logic"
"Robotic Welding Intelligence and Automation
            
                Lecture Notes in Electrical Engineering",Tzyh-Jong Tarn,2011,"Engineering, Electronics, Artificial intelligence, Robotics, Intellect, Automation, Electric engineering"
Evolutionary Multicriterion Optimization 6th International Conference Emo 2011 Ouro Preto Brazil April 58 2011 Proceedings,Elizabeth F. Wanner,2011,"Engineering, Computer science, Electronic data processing, Mathematical optimization, Artificial intelligence, Computer software, Evolutionary computation"
Advanced Data Mining And Applications 7th International Conference Adma 2011 Beijing China December 1719 2011 Proceedings,Ling Chen,2012,"Data Mining and Knowledge Discovery, Database management, Information storage and retrieval systems, Information organization, Algorithm Analysis and Problem Complexity, Information retrieval, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Data mining, Computer software, Artificial intelligence, Computer science"
Recent Advances In Intrusion Detection 13th International Symposium Raid 2010 Ottawa Ontario Canada September 1517 2010 Proceedings,Robin Sommer,2010,"Data encryption (Computer science), Computer networks, Artificial intelligence, Computer software, Data structures (Computer science), Computer science, Computer security, Computers, access control, Computers, congresses"
Computer Vision,Rin-Ichiro Taniguchi,2010,"Biometric identification, Computer vision, Computer science, Optical pattern recognition, Artificial intelligence, Computer software"
Applications Of Supervised And Unsupervised Ensemble Methods,Giorgio Valentini,2009,"Engineering, Engineering mathematics, Artificial intelligence, Machine learning, Data mining, Cluster analysis"
Parallel Architectures And Bioinspired Algorithms,Jos Ignacio Hidalgo P. Rez,2012,"Parallel processing (Electronic computers), Biologically-inspired computing, Artificial intelligence, Computational intelligence, Engineering, Parallel processing (electronic computers)"
"Soft Computing Models in Industrial and Environmental Applications
            
                Advances in Intelligent Systems and Computing",Emilio S. Corchado,2012,"Soft computing, Congresses, Artificial intelligence"
"Modern Approaches in Applied Intelligence
            
                Lecture Notes in Artificial Intelligence",Chilukuri K. Mohan,2011,"Information systems, Computer science, Information storage and retrieval systems, Database management, Computer networks, Artificial intelligence, Computer software, Intelligent agents (computer software), Intelligent control systems"
